Country,Age,Gender,OccupationDescription,Salary,Industry,WorkRemote,EnjoyWorkRemote,WhereWorkRemote,WeeklyWorkHours
France,30-34,1,Desktop Software Developer,"$40,000 - $60,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,36
United Kingdom,20-24,1,Embedded Application Developer,"$20,000 - $40,000",Manufacturing,Never,,,41
United Kingdom,25-29,1,DevOps,"$60,000 - $80,000",Finance / Banking,Never,,,61
India,20-24,0,Mobile Application Developer,"<$20,000",Software Products,Never,,,107
Germany,30-34,1,Desktop Software Developer,"$60,000 - $80,000",Other,Never,,,35
India,20-24,1,Back-End Web Developer,"<$20,000",Software Products,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,18
Netherlands,25-29,1,Back-End Web Developer,"$40,000 - $60,000",Web Services,Never,,,41
Malaysia,20-24,1,Full-Stack Web Developer,"<$20,000",Consulting,Occasionally,I love it,A coffee shop,44
Spain,25-29,1,Mobile Application Developer,"$20,000 - $40,000",Software Products,Never,,,75
France,20-24,1,Student,Student / Unemployed,Finance / Banking,Full-time Remote,It's not my preference. I'd prefer to be in an office,My couch,69
China,25-29,1,Mobile Application Developer,"<$20,000",Software Products,Never,,,52
Hungary,25-29,1,Back-End Web Developer,"<$20,000",Software Products,Never,,,51
Germany,40-50,1,Manager of Developers or Team Leader,,Web Services,Never,,,23
Netherlands,20-24,1,Back-End Web Developer,Student / Unemployed,Software Products,Never,,,0
India,20-24,1,Full-Stack Web Developer,Rather not say,Software Products,Never,,,24
United States,51-60,1,Embedded Application Developer,">$140,000",Healthcare,Never,,,51
South Africa,25-29,1,Full-Stack Web Developer,"$20,000 - $40,000",Finance / Banking,Never,,,63
United Kingdom,< 20,1,Full-Stack Web Developer,Rather not say,Web Services,Never,,,64
New Zealand,30-34,1,Desktop Software Developer,"$60,000 - $80,000",Software Products,Never,,,25
Bangladesh,20-24,1,Student,Student / Unemployed,Student,Never,,,0
Israel,25-29,1,Desktop Software Developer,"$40,000 - $60,000",Software Products,Occasionally,I'm neutral about it,My couch,70
Germany,30-34,1,Desktop Software Developer,"$40,000 - $60,000",Other,Occasionally,"I like it, though I like visiting the office occasionally",A home office,58
Thailand,25-29,1,Full-Stack Web Developer,"<$20,000",Software Products,Never,,,53
United Kingdom,25-29,1,Full-Stack Web Developer,Rather not say,Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,54
India,25-29,1,Full-Stack Web Developer,,Web Services,Full-time Remote,I love it,A home office,80
India,20-24,NA,Student,Student / Unemployed,Student,Occasionally,I'm neutral about it,My couch,42
Switzerland,35-39,1,Desktop Software Developer,"$100,000 - $120,000",Consulting,Occasionally,"I like it, though I like visiting the office occasionally",A home office,48
Germany,30-34,1,Back-End Web Developer,"$60,000 - $80,000",Consulting,Never,,,56
United States,30-34,1,Manager of Developers or Team Leader,Rather not say,Manufacturing,Occasionally,"I like it, though I like visiting the office occasionally",A home office,52
Poland,20-24,1,Mobile Application Developer,Rather not say,Software Products,Occasionally,I love it,My couch,43
United Kingdom,40-50,1,Embedded Application Developer,"$60,000 - $80,000",Manufacturing,Never,,,62
Italy,25-29,1,Full-Stack Web Developer,,Software Products,Never,,,9
Germany,25-29,1,Mobile Application Developer,"$40,000 - $60,000",Advertising,Never,,,43
France,30-34,1,Manager of Developers or Team Leader,"$40,000 - $60,000",Web Services,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,51
Poland,30-34,0,Full-Stack Web Developer,Rather not say,Software Products,Never,,,40
United Kingdom,30-34,1,Other,"$80,000 - $100,000",Other,Never,,,44
Poland,25-29,1,Desktop Software Developer,,Finance / Banking,Never,,,0
Italy,25-29,1,Front-End Web Developer,"$20,000 - $40,000",Consulting,Never,,,44
Germany,25-29,1,Desktop Software Developer,,Software Products,Occasionally,I'm neutral about it,A home office,45
United Kingdom,51-60,1,Desktop Software Developer,"$20,000 - $40,000",Manufacturing,Never,,,43
Germany,20-24,1,Student,"<$20,000",Manufacturing,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,0
India,25-29,0,Back-End Web Developer,"<$20,000",Software Products,Never,,,46
Turkey,20-24,0,Desktop Software Developer,"<$20,000",Software Products,Never,,,37
Hungary,20-24,1,Full-Stack Web Developer,"<$20,000",Web Services,Occasionally,I'm neutral about it,My couch,52
Spain,30-34,1,Full-Stack Web Developer,"$20,000 - $40,000",Consulting,Never,,,41
Finland,30-34,1,Full-Stack Web Developer,"$60,000 - $80,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,38
Russia,25-29,1,Full-Stack Web Developer,"$20,000 - $40,000",Software Products,Never,,,54
Israel,25-29,1,Enterprise Level Services,Rather not say,Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,59
Serbia,35-39,1,Full-Stack Web Developer,Rather not say,Software Products,Full-time Remote,I love it,A co-working space,50
Hungary,30-34,1,DevOps,Rather not say,Consulting,Never,,,32
United States,30-34,1,IT Staff / System Administrator,,Software Products,Never,,,49
India,30-34,1,DevOps,"$20,000 - $40,000",Finance / Banking,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,57
Russia,25-29,1,Full-Stack Web Developer,"$20,000 - $40,000",Software Products,Never,,,49
Italy,25-29,1,Embedded Application Developer,"$20,000 - $40,000",Other,Never,,,31
Netherlands,51-60,1,Full-Stack Web Developer,"$80,000 - $100,000",Software Products,Occasionally,I'm neutral about it,My couch,74
Russia,30-34,1,Full-Stack Web Developer,"$20,000 - $40,000",Not Currently Employed,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,20
Singapore,< 20,1,Student,Student / Unemployed,Student,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,28
United States,,,,,,,,,0
France,20-24,1,Full-Stack Web Developer,"$20,000 - $40,000",Web Services,Never,,,52
Indonesia,20-24,1,Mobile Application Developer,"<$20,000",Finance / Banking,Never,,,68
Poland,25-29,1,Desktop Software Developer,,Software Products,Occasionally,"I like it, though I like visiting the office occasionally",My couch,65
United Kingdom,30-34,1,"Executive (VP of Eng, CTO, CIO, etc.)",">$140,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",My couch,41
Germany,30-34,1,Desktop Software Developer,"$60,000 - $80,000",Healthcare,Never,,,47
Israel,30-34,1,Back-End Web Developer,"$80,000 - $100,000",Software Products,Never,,,0
Spain,25-29,1,Full-Stack Web Developer,"$20,000 - $40,000",Consulting,Occasionally,"I like it, though I like visiting the office occasionally",A home office,70
Lebanon,20-24,0,Desktop Software Developer,"<$20,000",Web Services,Never,,,21
Israel,30-34,1,Mobile Application Developer,"$60,000 - $80,000",Software Products,Never,,,31
Germany,30-34,1,Enterprise Level Services,"$80,000 - $100,000",Consulting,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,46
Germany,25-29,1,Desktop Software Developer,"$40,000 - $60,000",Finance / Banking,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,44
United States,30-34,1,"Executive (VP of Eng, CTO, CIO, etc.)",">$140,000",Consulting,Full-time Remote,I love it,A home office,62
India,25-29,1,Front-End Web Developer,"<$20,000",Software Products,Occasionally,I'm neutral about it,A home office,67
Spain,35-39,1,Back-End Web Developer,"$20,000 - $40,000",Web Services,Occasionally,I love it,A home office,39
Israel,30-34,1,Desktop Software Developer,"$80,000 - $100,000",Healthcare,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,49
Switzerland,35-39,1,Back-End Web Developer,"$100,000 - $120,000",Web Services,Occasionally,I'm neutral about it,My couch,46
China,30-34,1,Manager of Developers or Team Leader,"$20,000 - $40,000",Software Products,Never,,,36
Romania,25-29,1,Front-End Web Developer,"<$20,000",Not Currently Employed,Full-time Remote,It's not my preference. I'd prefer to be in an office,A home office,40
Switzerland,20-24,1,Back-End Web Developer,"$40,000 - $60,000",Software Products,Occasionally,I'm neutral about it,My couch,33
Brazil,20-24,1,Full-Stack Web Developer,"<$20,000",Web Services,Part-time Remote,"I like it, though I like visiting the office occasionally",My couch,56
Poland,30-34,1,Mobile Application Developer,Rather not say,Software Products,Occasionally,I'm neutral about it,A home office,48
Russia,,,,,,,,,0
United States,,,,,,,,,0
Austria,20-24,1,Embedded Application Developer,"$60,000 - $80,000",Software Products,Never,,,35
United States,25-29,1,Student,Student / Unemployed,Student,Never,,,11
Switzerland,< 20,1,Student,Student / Unemployed,Healthcare,Never,,,64
Argentina,,,,,,,,,0
Russia,25-29,1,Desktop Software Developer,Rather not say,Software Products,Never,,,46
Georgia,20-24,1,Mobile Application Developer,Rather not say,Software Products,Never,,,0
Italy,40-50,1,IT Staff / System Administrator,"$20,000 - $40,000",Software Products,Occasionally,I'm neutral about it,A home office,79
United States,30-34,1,Manager of Developers or Team Leader,">$140,000",Software Products,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,66
Israel,40-50,1,Full-Stack Web Developer,"$100,000 - $120,000",Finance / Banking,Never,,,74
Turkey,20-24,1,Full-Stack Web Developer,"$20,000 - $40,000",Software Products,Part-time Remote,I love it,A home office,36
Pakistan,25-29,0,Full-Stack Web Developer,"<$20,000",Retail,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,80
India,20-24,0,Database Administrator,,Software Products,Never,,,0
Switzerland,< 20,1,Student,Student / Unemployed,Student,Full-time Remote,I love it,A home office,0
Germany,20-24,1,Enterprise Level Services,"$40,000 - $60,000",Software Products,Never,,,44
Vietnam,20-24,1,Mobile Application Developer,Student / Unemployed,Software Products,Part-time Remote,I'm neutral about it,A home office,0
Australia,< 20,1,Student,Student / Unemployed,Student,Never,,,0
Russia,30-34,1,Full-Stack Web Developer,"$20,000 - $40,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,82
New Zealand,30-34,1,Full-Stack Web Developer,"$60,000 - $80,000",Consulting,Never,,,71
Sweden,35-39,NA,DevOps,Rather not say,Software Products,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,54
Ukraine,30-34,1,DevOps,"$40,000 - $60,000",Software Products,Never,,,52
Norway,25-29,1,Mobile Application Developer,"$60,000 - $80,000",Consulting,Never,,,37
Malaysia,20-24,1,Front-End Web Developer,"<$20,000",Consulting,Never,,,76
India,25-29,1,Mobile Application Developer,Rather not say,Software Products,Never,,,72
United Kingdom,40-50,1,Manager of Developers or Team Leader,"$100,000 - $120,000",Software Products,Part-time Remote,I'm neutral about it,A home office,51
India,25-29,1,Mobile Application Developer,"<$20,000",Software Products,Never,,,59
Turkey,25-29,1,Full-Stack Web Developer,"$20,000 - $40,000",Retail,Occasionally,I'm neutral about it,My couch,53
Thailand,20-24,1,Full-Stack Web Developer,"<$20,000",Software Products,Never,,,22
India,20-24,1,Mobile Application Developer,"<$20,000",Software Products,Never,,,72
Netherlands,20-24,1,Student,Student / Unemployed,Consulting,Part-time Remote,I'm neutral about it,A home office,54
Georgia,20-24,1,Back-End Web Developer,"<$20,000",Gaming,Occasionally,I'm neutral about it,Other,62
Germany,30-34,1,Back-End Web Developer,"$60,000 - $80,000",Software Products,Never,,,70
Italy,< 20,1,Manager of Developers or Team Leader,Student / Unemployed,Software Products,Part-time Remote,I love it,My couch,80
Other,30-34,1,Enterprise Level Services,"$120,000 - $140,000",Finance / Banking,Full-time Remote,"I like it, though I like visiting the office occasionally",A co-working space,67
India,20-24,1,Mobile Application Developer,"<$20,000",Software Products,Never,,,50
India,20-24,0,Front-End Web Developer,Rather not say,Software Products,Never,,,19
United States,< 20,NA,Student,"<$20,000",Student,Never,,,0
Germany,30-34,1,Full-Stack Web Developer,"$60,000 - $80,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,35
Germany,30-34,1,Enterprise Level Services,Rather not say,Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,0
India,20-24,1,Mobile Application Developer,"<$20,000",Software Products,Never,,,60
India,20-24,1,Mobile Application Developer,"<$20,000",Retail,Never,,,105
India,20-24,1,Enterprise Level Services,"<$20,000",Software Products,Never,,,54
South Africa,25-29,1,Full-Stack Web Developer,"$20,000 - $40,000",Web Services,Occasionally,"I like it, though I like visiting the office occasionally",A home office,56
Australia,25-29,1,Back-End Web Developer,"$120,000 - $140,000",Consulting,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,42
India,30-34,1,Desktop Software Developer,Rather not say,Software Products,Occasionally,I love it,My couch,63
India,20-24,0,Mobile Application Developer,"<$20,000",Software Products,Never,,,84
Germany,25-29,1,Mobile Application Developer,Rather not say,Web Services,Never,,,46
Romania,25-29,1,Mobile Application Developer,Rather not say,Software Products,Never,,,29
Romania,30-34,0,Mobile Application Developer,"<$20,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,66
China,25-29,1,Desktop Software Developer,,Software Products,Never,,,67
India,20-24,1,Back-End Web Developer,"<$20,000",Web Services,Part-time Remote,I hate it,A home office,11
India,20-24,1,Full-Stack Web Developer,"<$20,000",Software Products,Never,I'm neutral about it,,130
India,35-39,1,Full-Stack Web Developer,"$40,000 - $60,000",Finance / Banking,Occasionally,"I like it, though I like visiting the office occasionally",A home office,65
Brazil,20-24,1,Back-End Web Developer,"<$20,000",Web Services,Part-time Remote,It's not my preference. I'd prefer to be in an office,A coffee shop,30
India,20-24,1,Full-Stack Web Developer,Rather not say,Software Products,Occasionally,I love it,My couch,105
India,25-29,1,Embedded Application Developer,"<$20,000",Advertising,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,62
Canada,40-50,1,Full-Stack Web Developer,Rather not say,Consulting,Occasionally,"I like it, though I like visiting the office occasionally",A home office,43
India,25-29,1,DevOps,"$40,000 - $60,000",Consulting,Occasionally,I'm neutral about it,A home office,57
Russia,20-24,1,Enterprise Level Services,"<$20,000",Consulting,Never,,,60
Norway,25-29,1,Full-Stack Web Developer,"$60,000 - $80,000",Consulting,Never,,,38
Austria,25-29,1,Full-Stack Web Developer,"$60,000 - $80,000",Other,Never,,,34
Indonesia,20-24,1,Back-End Web Developer,"<$20,000",Gaming,Occasionally,I'm neutral about it,A co-working space,33
South Africa,30-34,1,Mobile Application Developer,"$60,000 - $80,000",Software Products,Part-time Remote,"I like it, though I like visiting the office occasionally",A co-working space,94
Norway,25-29,1,Full-Stack Web Developer,"$80,000 - $100,000",Consulting,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,74
Japan,30-34,1,Desktop Software Developer,Rather not say,Education,Full-time Remote,I love it,A home office,0
Germany,20-24,1,Student,Student / Unemployed,Student,Never,"I like it, though I like visiting the office occasionally",,29
Mexico,,,,,,,,,0
India,20-24,1,Full-Stack Web Developer,"<$20,000",Other,Never,,,44
United Arab Emirates,30-34,1,Full-Stack Web Developer,"$20,000 - $40,000",Consulting,Occasionally,I'm neutral about it,My couch,0
United Kingdom,40-50,1,Other,Rather not say,Finance / Banking,Never,,,47
Austria,30-34,1,Back-End Web Developer,"$40,000 - $60,000",Consulting,Never,,,89
Germany,25-29,1,Back-End Web Developer,"$40,000 - $60,000",Software Products,Never,,,43
Russia,30-34,1,"Executive (VP of Eng, CTO, CIO, etc.)","$80,000 - $100,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A coffee shop,45
India,20-24,1,Front-End Web Developer,Rather not say,Web Services,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,0
India,25-29,1,Back-End Web Developer,"<$20,000",Software Products,Never,I'm neutral about it,,49
Germany,25-29,1,DevOps,"<$20,000",Consulting,Occasionally,I'm neutral about it,A home office,57
Hungary,25-29,1,Mobile Application Developer,"$20,000 - $40,000",Software Products,Never,,,41
Pakistan,25-29,1,Full-Stack Web Developer,"<$20,000",Software Products,Full-time Remote,I'm neutral about it,A home office,55
Switzerland,,,,,,,,,0
Germany,25-29,1,Back-End Web Developer,"$60,000 - $80,000",Web Services,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,52
South Korea,20-24,1,Student,Student / Unemployed,,,,,0
India,25-29,1,Full-Stack Web Developer,"<$20,000",Software Products,Occasionally,I love it,A home office,77
India,20-24,1,Back-End Web Developer,"$100,000 - $120,000",Retail,Occasionally,I'm neutral about it,A home office,46
Sweden,25-29,1,Back-End Web Developer,"$100,000 - $120,000",Finance / Banking,Never,,,77
India,,,,,,,,,0
India,20-24,1,Embedded Application Developer,"<$20,000",Manufacturing,Full-time Remote,I'm neutral about it,A home office,57
Taiwan,25-29,1,Other,Rather not say,Software Products,Never,,,87
India,25-29,1,Full-Stack Web Developer,Rather not say,Web Services,Occasionally,I love it,My couch,38
India,25-29,1,Back-End Web Developer,"<$20,000",Software Products,Never,,,47
United States,30-34,1,Enterprise Level Services,"$100,000 - $120,000",Other,Occasionally,"I like it, though I like visiting the office occasionally",A home office,39
Pakistan,20-24,1,Desktop Software Developer,"<$20,000",Software Products,Occasionally,I'm neutral about it,My couch,59
Malta,20-24,1,Back-End Web Developer,"$20,000 - $40,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,35
United States,20-24,1,Student,"$20,000 - $40,000",Student,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,40
India,20-24,0,Embedded Application Developer,"<$20,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,19
South Africa,35-39,1,Desktop Software Developer,"$80,000 - $100,000",Consulting,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,71
United States,20-24,1,Student,,Gaming,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,0
Germany,30-34,1,Back-End Web Developer,"$60,000 - $80,000",Web Services,Occasionally,I love it,A home office,45
Canada,35-39,1,Enterprise Level Services,"$80,000 - $100,000",Retail,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,47
United States,25-29,1,Desktop Software Developer,"$80,000 - $100,000",Other,Never,,,41
India,20-24,1,Back-End Web Developer,Rather not say,Software Products,Never,,,45
India,35-39,1,Enterprise Level Services,Rather not say,Consulting,Never,,,0
India,25-29,1,Back-End Web Developer,,Software Products,Never,,,41
Germany,25-29,1,Desktop Software Developer,"$60,000 - $80,000",Manufacturing,Never,,,48
Taiwan,20-24,1,Full-Stack Web Developer,"<$20,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,55
India,25-29,1,Mobile Application Developer,"<$20,000",Software Products,Full-time Remote,I'm neutral about it,,90
Australia,25-29,1,Enterprise Level Services,"$100,000 - $120,000",Finance / Banking,Never,,,80
United States,20-24,1,Student,Student / Unemployed,Student,Never,,,62
United States,< 20,1,Student,Student / Unemployed,Student,Part-time Remote,I'm neutral about it,A home office,0
Croatia,20-24,1,Full-Stack Web Developer,"<$20,000",Software Products,Never,,,39
Italy,30-34,1,Full-Stack Web Developer,"$20,000 - $40,000",Other,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,47
India,20-24,1,Mobile Application Developer,"<$20,000",Software Products,Never,,,40
Norway,30-34,1,Desktop Software Developer,"$80,000 - $100,000",Healthcare,Occasionally,I'm neutral about it,A home office,84
India,20-24,1,Back-End Web Developer,"<$20,000",Software Products,Never,,,13
Germany,30-34,1,Other,"$40,000 - $60,000",Software Products,Occasionally,I love it,A home office,54
United Arab Emirates,30-34,1,Other,"$60,000 - $80,000",Advertising,Occasionally,I love it,A home office,12
China,25-29,1,Mobile Application Developer,"$20,000 - $40,000",Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,54
China,20-24,1,Full-Stack Web Developer,Rather not say,Finance / Banking,Occasionally,I love it,A home office,39
India,20-24,1,Full-Stack Web Developer,Rather not say,Software Products,Never,,,41
Greece,40-50,1,Desktop Software Developer,"$20,000 - $40,000",Software Products,Never,,,33
India,25-29,1,Back-End Web Developer,"<$20,000",Other,Never,,,54
India,20-24,1,Desktop Software Developer,"<$20,000",Software Products,Never,,,54
India,20-24,1,Desktop Software Developer,Rather not say,Software Products,Never,,,6
United States,30-34,1,Front-End Web Developer,"$60,000 - $80,000",Software Products,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,36
India,20-24,1,Back-End Web Developer,Rather not say,Government,Never,,,60
Czech Republic,30-34,1,Manager of Developers or Team Leader,"$20,000 - $40,000",Manufacturing,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,36
Canada,< 20,0,Student,Student / Unemployed,Student,Part-time Remote,I'm neutral about it,Other,0
India,20-24,1,Mobile Application Developer,,Software Products,Never,I'm neutral about it,,0
India,25-29,0,Other,Rather not say,Software Products,Occasionally,I'm neutral about it,Other,16
South Africa,35-39,1,Database Administrator,"$20,000 - $40,000",Finance / Banking,Never,,,38
Switzerland,30-34,1,Enterprise Level Services,">$140,000",Advertising,Occasionally,I'm neutral about it,A home office,43
Philippines,20-24,0,Embedded Application Developer,"<$20,000",Software Products,Never,,,87
India,25-29,1,Full-Stack Web Developer,Rather not say,Other,Never,,,0
Sweden,30-34,1,Full-Stack Web Developer,"$60,000 - $80,000",Consulting,Never,,,77
Hong Kong,20-24,1,Student,Student / Unemployed,Student,Never,,,0
South Africa,20-24,1,Full-Stack Web Developer,"$20,000 - $40,000",Finance / Banking,Never,,,54
India,20-24,1,Mobile Application Developer,"<$20,000",Software Products,Full-time Remote,I love it,A home office,54
Mexico,25-29,1,Full-Stack Web Developer,"$20,000 - $40,000",Not Currently Employed,Full-time Remote,"I like it, though I like visiting the office occasionally",My couch,59
United States,20-24,1,Full-Stack Web Developer,"$100,000 - $120,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,0
Australia,25-29,1,Full-Stack Web Developer,Rather not say,Finance / Banking,Occasionally,I'm neutral about it,A home office,77
Spain,25-29,1,Embedded Application Developer,Rather not say,Manufacturing,Never,,,33
India,20-24,1,Mobile Application Developer,"<$20,000",Software Products,Occasionally,I'm neutral about it,My couch,23
Singapore,< 20,1,Desktop Software Developer,Student / Unemployed,Healthcare,Never,,,87
Ukraine,20-24,1,Back-End Web Developer,"<$20,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,0
United States,>60,1,Mobile Application Developer,Rather not say,Software Products,Full-time Remote,I love it,A home office,46
United States,20-24,0,Student,"$20,000 - $40,000",Other,Occasionally,"I like it, though I like visiting the office occasionally",My couch,39
India,25-29,1,Full-Stack Web Developer,"<$20,000",Retail,Part-time Remote,I'm neutral about it,A home office,87
Canada,30-34,1,Full-Stack Web Developer,"$80,000 - $100,000",Web Services,Full-time Remote,I love it,A coffee shop,71
Israel,30-34,1,Desktop Software Developer,"$20,000 - $40,000",Software Products,Occasionally,I love it,A home office,36
Australia,25-29,1,Full-Stack Web Developer,"$80,000 - $100,000",Software Products,Occasionally,I'm neutral about it,A home office,48
Australia,40-50,1,Embedded Application Developer,Rather not say,Gaming,Full-time Remote,"I like it, though I like visiting the office occasionally",A home office,35
Japan,40-50,1,Back-End Web Developer,"$80,000 - $100,000",Manufacturing,Never,,,55
United States,25-29,1,Other,">$140,000",Other,Occasionally,I'm neutral about it,A home office,34
India,20-24,1,Full-Stack Web Developer,"<$20,000",Software Products,Occasionally,I'm neutral about it,A home office,75
Japan,30-34,1,Back-End Web Developer,"$40,000 - $60,000",Consulting,Never,,,43
Switzerland,25-29,1,Back-End Web Developer,"$80,000 - $100,000",Other,Never,,,22
India,35-39,1,Back-End Web Developer,"$20,000 - $40,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,61
Hong Kong,,,,,,,,,0
India,20-24,1,Mobile Application Developer,"<$20,000",Software Products,Never,,,64
Ukraine,35-39,1,Full-Stack Web Developer,"$20,000 - $40,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,47
United States,35-39,1,Manager of Developers or Team Leader,"$120,000 - $140,000",Consulting,Occasionally,I'm neutral about it,A home office,57
Switzerland,40-50,1,Desktop Software Developer,"$100,000 - $120,000",Manufacturing,Never,,,49
United States,30-34,1,Enterprise Level Services,"$60,000 - $80,000",Consulting,Occasionally,"I like it, though I like visiting the office occasionally",A home office,54
Malaysia,30-34,1,Full-Stack Web Developer,"$40,000 - $60,000",Advertising,Never,,,69
India,20-24,1,Back-End Web Developer,"<$20,000",,,,,0
New Zealand,20-24,1,Mobile Application Developer,"<$20,000",Software Products,Never,,,57
Russia,,,,,,,,,0
India,25-29,1,Other,Rather not say,Software Products,Never,,,14
India,25-29,1,Mobile Application Developer,"<$20,000",Software Products,Never,,,36
Switzerland,40-50,1,Full-Stack Web Developer,Rather not say,Software Products,Occasionally,"I like it, though I like visiting the office occasionally",A home office,56
Latvia,30-34,1,IT Staff / System Administrator,"<$20,000",Healthcare,Never,,,52
India,25-29,1,Other,Rather not say,Other,Never,,,34
Australia,30-34,1,IT Staff / System Administrator,,Manufacturing,Occasionally,It's not my preference. I'd prefer to be in an office,My couch,67
Brazil,20-24,1,Student,Student / Unemployed,Not Currently Employed,Never,,,0
India,20-24,1,Mobile Application Developer,Rather not say,Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,Other,23
Australia,35-39,1,Full-Stack Web Developer,"$100,000 - $120,000",Software Products,Never,,,52
Australia,25-29,1,Desktop Software Developer,"$60,000 - $80,000",Healthcare,Never,,,39
Australia,25-29,0,Student,Rather not say,Other,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,30
Malaysia,25-29,1,IT Staff / System Administrator,Rather not say,Other,Never,,,34
United States,20-24,1,Full-Stack Web Developer,"$40,000 - $60,000",Not Currently Employed,Occasionally,I'm neutral about it,A home office,0
South Korea,20-24,1,IT Staff / System Administrator,Student / Unemployed,Other,Occasionally,,,0
Australia,25-29,1,Mobile Application Developer,"$40,000 - $60,000",Software Products,Full-time Remote,I love it,A home office,49
United Arab Emirates,25-29,1,Full-Stack Web Developer,"$60,000 - $80,000",Government,Never,,,59
United States,30-34,1,Manager of Developers or Team Leader,"$80,000 - $100,000",Gaming,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,46
United States,40-50,1,Back-End Web Developer,"$100,000 - $120,000",Web Services,Occasionally,"I like it, though I like visiting the office occasionally",A home office,63
Russia,30-34,1,Desktop Software Developer,"$20,000 - $40,000",Software Products,Never,,,40
Canada,20-24,1,Full-Stack Web Developer,"$60,000 - $80,000",Web Services,Full-time Remote,"I like it, though I like visiting the office occasionally",A co-working space,70
United States,< 20,1,Student,Student / Unemployed,Student,Never,,,0
India,25-29,0,Front-End Web Developer,"<$20,000",Software Products,Full-time Remote,It's not my preference. I'd prefer to be in an office,A co-working space,0
India,20-24,1,DevOps,Rather not say,Software Products,Occasionally,I love it,My couch,79
Canada,51-60,1,Desktop Software Developer,"$100,000 - $120,000",Software Products,Occasionally,It's not my preference. I'd prefer to be in an office,A home office,35
Iran,20-24,1,Enterprise Level Services,"<$20,000",Web Services,Never,,,41
India,20-24,1,Mobile Application Developer,"<$20,000",Software Products,Never,,,55
United Arab Emirates,,,,,,,,,0
Australia,25-29,1,Desktop Software Developer,"$40,000 - $60,000",Software Products,Never,,,30
Italy,20-24,1,Student,Student / Unemployed,Student,Never,,,0
Sri Lanka,25-29,1,Full-Stack Web Developer,,Software Products,Never,,,67
India,20-24,1,Front-End Web Developer,Rather not say,Software Products,Never,,,0
Germany,20-24,1,Student,"$20,000 - $40,000",Student,Never,,,47
Finland,30-34,1,Back-End Web Developer,"$60,000 - $80,000",Manufacturing,Never,,,74
United States,51-60,1,Manager of Developers or Team Leader,">$140,000",Finance / Banking,Occasionally,"I like it, though I like visiting the office occasionally",A home office,10
United States,25-29,1,"Executive (VP of Eng, CTO, CIO, etc.)","$120,000 - $140,000",Software Products,Never,,,46
Australia,25-29,1,Full-Stack Web Developer,"$60,000 - $80,000",Consulting,Never,,,0
United States,20-24,1,Student,"<$20,000",Student,Occasionally,,,0
India,20-24,1,Back-End Web Developer,,,,,,0
India,25-29,1,Back-End Web Developer,"<$20,000",Web Services,Part-time Remote,"I like it, though I like visiting the office occasionally",A home office,36
